Task,Paradigm,FeatureFilter,Model,TimeTaken,Length,ba,recall,auc,best_params,feature_imp
5,4,2,5,8367.53,,0.58,0.76,"[0.575, 0.365, 0.791]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 128, 'lr': 0.001, 'num_layers': 2, 'pooling': 'mean', 'rnn_type': 'lstm'}}","{'LRotZ': 0.06081091, 'RPosY': 0.05747154, 'HPosY': 0.05688755, 'LPosX': 0.05667122, 'HRotZ': 0.05645632, 'RRotY': 0.05600292}"
5,4,2,3,1574.28,,0.613,0.76,"[np.float64(0.622), np.float64(0.462), np.float64(0.781)]","{'best_params': {'covariance_type': 'diag', 'n_components': 3, 'n_iter': 50}}","{'RRotX': np.float64(0.11333333333333329), 'LRotY': np.float64(0.09333333333333327), 'RRotZ': np.float64(0.05333333333333323), 'RRotY': np.float64(0.046666666666666634), 'HPosY': np.float64(0.026666666666666616), 'LRotX': np.float64(0.020000000000000018)}"
5,3,2,3,1047.24,,0.683,0.667,"[np.float64(0.687), np.float64(0.527), np.float64(0.844)]","{'best_params': {'covariance_type': 'diag', 'n_components': 2, 'n_iter': 50}}","{'HPosY': np.float64(0.1416666666666666), 'HRotX': np.float64(0.06666666666666665), 'LRotZ': np.float64(0.05833333333333335), 'HPosX': np.float64(0.050000000000000044), 'LPosY': np.float64(0.025000000000000022), 'LPosX': np.float64(0.008333333333333304)}"
5,4,2,2,10554.0,1194.0,0.54,0.88,"[np.float64(0.437), np.float64(0.259), np.float64(0.632)]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}}","{'RRotY': 0.2648174739799733, 'LRotY': 0.21100743541075132, 'RRotZ': 0.11423153122649181, 'HRotY': 0.0945254576725046, 'HRotZ': 0.041595970689654885, 'RPosZ': 0.03730574459523225}"
5,4,2,1,381.45,1194.0,0.653,0.64,"[np.float64(0.586), np.float64(0.389), np.float64(0.793)]","{'best_params': {'C': 0.1, 'l1_ratio': 0.75, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga'}}","{'LRotY': 0.4552268281368015, 'RRotZ': 0.0070373243652284145, 'RRotY': 0.0010414741927888826, 'LPosZ': 0.0005592019770119805, 'HRotX': 0.00042697555227277917, 'RPosX': 2.515421067528223e-05}"
6,1,2,3,2034.35,,0.65,0.7,"[np.float64(0.661), np.float64(0.512), np.float64(0.793)]","{'best_params': {'covariance_type': 'diag', 'n_components': 2, 'n_iter': 50}}","{'HPosY': np.float64(0.1874999999999999), 'HPosX': np.float64(0.11249999999999993), 'HRotY': np.float64(0.07499999999999996), 'LPosZ': np.float64(0.0625), 'HRotX': np.float64(0.06249999999999989), 'RRotX': np.float64(0.06249999999999989)}"
6,2,2,1,2372.93,778.0,0.78,0.76,"[np.float64(0.794), np.float64(0.638), np.float64(0.918)]","{'best_params': {'C': 1, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}}","{'HPosY': 3.6962588586097014, 'RRotY': 3.295183410551989, 'RPosZ': 3.192619175322671, 'HRotX': 3.1448123573008107, 'RRotZ': 3.102856291811515, 'LPosZ': 2.9398052794644003}"
6,3,2,1,9094.0,778.0,0.667,0.933,"[0.747, 0.569, 0.9]","{'best_params': {'C': 10, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}}","{'HRotY': 4.877686940296099, 'HRotX': 4.648640872079717, 'RRotZ': 4.092407253219838, 'RPosY': 3.9557207482453913, 'HPosY': 3.76589382093792, 'RPosX': 3.4276587219447943}"
6,3,2,2,8676.02,778.0,0.608,0.467,"[0.662, 0.474, 0.836]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}}","{'HPosY': 0.2038169242603409, 'RRotX': 0.08367572974980886, 'HPosZ': 0.0818059269744755, 'LPosZ': 0.07543567622577582, 'HRotZ': 0.07169665174451402, 'RPosX': 0.06489807120944498}"
6,1,2,1,20841.27,778.0,0.75,0.8,"[0.771, 0.615, 0.905]","{'best_params': {'C': 0.1, 'class_weight': 'balanced', 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga'}}","{'HPosY': 0.4139253230137001, 'LRotZ': 0.14625827289819426, 'LPosZ': 0.04767293485065238, 'RRotX': 0.0025824533058766974, 'LPosY': 0.00011362850273144431, 'HPosX': 0.0}"
6,1,2,2,36951.66,778.0,0.662,0.975,"[0.692, 0.514, 0.853]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}}","{'HPosY': 0.1883277169715533, 'LPosZ': 0.12159168924564834, 'LRotZ': 0.06021095251023694, 'HRotX': 0.059109639876219575, 'RRotX': 0.05846472891817431, 'HPosZ': 0.0557703750780821}"
6,3,2,3,84130.85,,0.55,0.4,"[0.585, 0.418, 0.752]","{'best_params': {'covariance_type': 'diag', 'n_components': 2, 'n_iter': 50}}","{'HPosY': 0.20000000000000007, 'RRotX': 0.10000000000000009, 'LRotX': 0.06666666666666676, 'RRotZ': 0.05833333333333335, 'LRotZ': 0.050000000000000044, 'HPosX': 0.050000000000000044}"
6,4,2,1,12533.39,877.0,0.633,0.4,"[0.633, 0.439, 0.81]","{'best_params': {'C': 100, 'class_weight': 'balanced', 'max_iter': 500, 'penalty': 'l2', 'solver': 'lbfgs'}}","{'RRotY': 6.7072044166039975, 'RRotX': 5.58777964069392, 'HRotX': 5.300831386353758, 'HRotZ': 5.070920666396789, 'LPosY': 5.002684964730772, 'HRotY': 4.664622362379582}"
6,4,2,2,17152.88,877.0,0.507,0.88,"[0.346, 0.176, 0.535]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}}","{'RRotX': 0.13478402702298317, 'LPosY': 0.08882992758720823, 'RRotY': 0.08438438497685663, 'HRotZ': 0.0832784070945692, 'RRotZ': 0.08073101713190041, 'RPosY': 0.06968958899997393}"
6,4,2,3,96459.55,,0.553,0.84,"[0.555, 0.427, 0.708]","{'best_params': {'covariance_type': 'diag', 'n_components': 2, 'n_iter': 50}}","{'HPosY': 0.2733333333333333, 'HPosX': 0.17333333333333334, 'LPosY': 0.1266666666666667, 'RRotX': 0.08666666666666667, 'HPosZ': 0.08000000000000002, 'LRotX': 0.07999999999999996}"
6,2,2,2,19738.25,778.0,0.735,0.92,"[0.716, 0.526, 0.876]","{'best_params': {'class_weight': 'balanced', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}}","{'HPosY': 0.15944729715743589, 'LPosZ': 0.14089562349252951, 'LPosY': 0.07449212238983732, 'LRotZ': 0.0652150463951321, 'LRotY': 0.05032619570546703, 'RRotX': 0.049823688778244134}"
6,2,2,3,117891.92,,0.755,0.76,"[0.79, 0.651, 0.911]","{'best_params': {'covariance_type': 'diag', 'n_components': 3, 'n_iter': 50}}","{'LRotZ': 0.27, 'LPosZ': 0.20499999999999996, 'RPosX': 0.19999999999999996, 'LRotX': 0.125, 'RRotY': 0.09999999999999998, 'RRotZ': 0.09999999999999998}"
6,1,2,4,1129.91,,0.662,0.825,"[0.685, 0.512, 0.831]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 256], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'LPosZ': 0.046796244, 'LPosX': 0.046523165, 'RRotY': 0.045975953, 'RRotX': 0.045955036, 'LPosY': 0.04544408, 'RPosX': 0.04537775}"
6,1,2,5,8769.3,,0.738,0.875,"[0.771, 0.626, 0.898]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 2, 'pooling': 'max', 'rnn_type': 'gru'}}","{'HPosY': 0.060858764, 'RRotX': 0.057704244, 'RRotZ': 0.056593675, 'LPosZ': 0.05641037, 'RPosZ': 0.056098577, 'HPosZ': 0.05565426}"
6,2,2,4,636.18,,0.79,0.88,"[0.775, 0.613, 0.913]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 128], 'dropout_fc': 0.4, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'LRotY': 0.046848066, 'HPosY': 0.04624813, 'RPosZ': 0.0462107, 'LPosZ': 0.045496315, 'RRotZ': 0.045372132, 'RPosX': 0.045286596}"
6,2,2,5,5448.13,,0.77,0.84,"[0.735, 0.569, 0.893]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 1, 'pooling': 'mean', 'rnn_type': 'gru'}}","{'RRotX': 0.058927998, 'RPosZ': 0.05823819, 'HPosY': 0.057695184, 'LRotZ': 0.057608437, 'HPosZ': 0.056875404, 'LRotX': 0.05649573}"
6,3,2,4,402.83,,0.608,0.467,"[0.692, 0.503, 0.86]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 128], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.001, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'LPosX': 0.047123224, 'HRotZ': 0.04676348, 'HPosZ': 0.045824826, 'RRotZ': 0.04547187, 'HPosY': 0.045411758, 'RPosX': 0.04534841}"
6,3,2,5,3904.29,,0.633,0.667,"[0.619, 0.434, 0.79]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 64, 'lr': 0.001, 'num_layers': 2, 'pooling': 'mean', 'rnn_type': 'lstm'}}","{'HPosY': 0.061434194, 'HRotX': 0.058516283, 'HRotY': 0.057762776, 'LPosY': 0.05662472, 'RRotZ': 0.056356538, 'LPosZ': 0.055923846}"
6,4,2,4,562.94,,0.567,0.8,"[0.471, 0.279, 0.655]","{'best_params': {'batch_size': 32, 'conv_channels': [64, 128, 256], 'dropout_fc': 0.2, 'finetune_epochs': 15, 'kernel_sizes': [7, 5, 3], 'learning_rate': 0.0002, 'warmup_epochs': 5, 'weight_decay': 0.0005}}","{'RRotX': 0.046602316, 'HPosY': 0.046186365, 'RRotZ': 0.045955144, 'RRotY': 0.045593474, 'LPosY': 0.045465253, 'LPosZ': 0.04538304}"
6,4,2,5,5411.2,,0.56,0.72,"[0.518, 0.31, 0.727]","{'best_params': {'batch_size': 32, 'bidirectional': True, 'dropout_fc': 0.3, 'dropout_rnn': 0.2, 'epochs': 30, 'hidden_size': 128, 'lr': 0.001, 'num_layers': 2, 'pooling': 'max', 'rnn_type': 'lstm'}}","{'LPosY': 0.06044138, 'LPosZ': 0.057226535, 'HRotZ': 0.056729384, 'RRotX': 0.056171846, 'HRotY': 0.0556493, 'RPosY': 0.055576503}"
